province,year,poverty_line_avg,poverty_line_max
KALIMANTAN TIMUR,2019,1243639.7,1257268.0
KALIMANTAN TIMUR,2020,1327327.3,1341369.0
KALIMANTAN TIMUR,2021,1387171.3,1402710.0
KALIMANTAN TIMUR,2022,1492583.3,1504307.0
KALIMANTAN UTARA,2015,966411.0,994391.0
KALIMANTAN UTARA,2016,1041959.3,1063413.0
KALIMANTAN UTARA,2017,1126959.0,1158739.0
KALIMANTAN UTARA,2018,1200643.7,1252021.0
KALIMANTAN UTARA,2019,1310546.3,1378742.0
KALIMANTAN UTARA,2020,1365438.3,1437970.0
KALIMANTAN UTARA,2021,1430996.3,1501107.0
KALIMANTAN UTARA,2022,1561719.7,1639291.0
KEP. BANGKA BELITUNG,2015,1018419.0,1044264.0
KEP. BANGKA BELITUNG,2016,1098218.3,1120580.0
KEP. BANGKA BELITUNG,2017,1195923.3,1226053.0
KEP. BANGKA BELITUNG,2018,1295024.7,1310404.0
KEP. BANGKA BELITUNG,2019,1393313.7,1411176.0
KEP. BANGKA BELITUNG,2020,1448361.0,1469420.0
KEP. BANGKA BELITUNG,2021,1524640.7,1559560.0
KEP. BANGKA BELITUNG,2022,1656487.7,1693386.0
KEP. RIAU,2015,915559.3,939643.0
KEP. RIAU,2016,980628.0,1000398.0
KEP. RIAU,2017,1035393.0,1056480.0
KEP. RIAU,2018,1111380.3,1134903.0
KEP. RIAU,2019,1177569.3,1203104.0
KEP. RIAU,2020,1220537.0,1236204.0
KEP. RIAU,2021,1279314.3,1300107.0
KEP. RIAU,2022,1397354.7,1420493.0
LAMPUNG,2015,708235.3,757567.0
LAMPUNG,2016,745616.7,790866.0
LAMPUNG,2017,790435.3,847299.0
LAMPUNG,2018,829217.3,897299.0
LAMPUNG,2019,869780.0,940725.0
LAMPUNG,2020,929075.7,1005050.0
LAMPUNG,2021,979774.7,1051136.0
LAMPUNG,2022,1077424.0,1156459.0
MALUKU,2015,804955.0,805276.0
MALUKU,2016,838533.7,838958.0
MALUKU,2017,888875.3,899196.0
MALUKU,2018,932505.3,952043.0
MALUKU,2019,1054236.0,1066245.0
MALUKU,2020,1129917.3,1142283.0
MALUKU,2021,1194836.3,1209880.0
MALUKU,2022,1305054.7,1322056.0
MALUKU UTARA,2015,713347.7,739471.0
MALUKU UTARA,2016,769981.0,796156.0
MALUKU UTARA,2017,795748.0,824209.0
MALUKU UTARA,2018,845745.3,878590.0
MALUKU UTARA,2019,907161.7,958539.0
MALUKU UTARA,2020,942454.0,983467.0
MALUKU UTARA,2021,1005979.3,1049681.0
MALUKU UTARA,2022,1070057.3,1115764.0
NUSA TENGGARA BARAT,2015,639290.0,663409.0
NUSA TENGGARA BARAT,2016,672053.3,690161.0
NUSA TENGGARA BARAT,2017,699232.7,718947.0
NUSA TENGGARA BARAT,2018,740402.3,761624.0
NUSA TENGGARA BARAT,2019,777887.0,801783.0
NUSA TENGGARA BARAT,2020,813439.7,837654.0
NUSA TENGGARA BARAT,2021,865183.0,887306.0
NUSA TENGGARA BARAT,2022,949529.0,972017.0
NUSA TENGGARA TIMUR,2015,638582.3,739275.0
NUSA TENGGARA TIMUR,2016,680922.3,775800.0
NUSA TENGGARA TIMUR,2017,720648.0,816355.0
NUSA TENGGARA TIMUR,2018,744744.7,840380.0
NUSA TENGGARA TIMUR,2019,793106.0,908939.0
NUSA TENGGARA TIMUR,2020,850584.7,990579.0
NUSA TENGGARA TIMUR,2021,895746.7,1039778.0
NUSA TENGGARA TIMUR,2022,996370.3,1152757.0
PAPUA,2015,824903.7,885754.0
PAPUA,2016,883910.0,946279.0
PAPUA,2017,938883.3,1006771.0
PAPUA,2018,1036444.7,1109445.0
PAPUA,2019,1115914.0,1192202.0
PAPUA,2020,1160674.3,1233461.0
